,stolbec
367,"['Пощечины', 'с', 'размаху', 'да', 'по', 'виску', ',', 'и', 'на', 'ее', 'плечо', ',', 'как', 'бы', 'на', 'плаху', ',', 'поклал', 'башку.Но', 'понял', 'вдруг', ',', 'трезвея', ',', 'цепенея', ':', 'жизнь', 'вообще', 'и', 'в', 'частности', ',', 'она', 'меня', 'умнее', '.']"
368,"['А', 'дело', 'в', 'том', ',', 'что', 'в', 'сентября', 'начале', 'у', 'школы', 'утром', 'ранним', 'нас', 'собрали', ',', 'и', 'музыканты', 'полное', 'печали', 'для', 'нас', 'играли', '.']"
369,"['Чтобы', 'каждый', 'остался', 'оправдан', 'и', 'чист', ',', 'чтобы', 'ангелом', 'сделался', 'гад', '.']"
370,"['Трамваи', 'дребезжат', 'бесплатные', '.']"
371,"['Можно', 'лечь', 'на', 'теплый', 'ветер', 'и', 'подумать-полежать', ':', 'может', ',', 'правда', 'нам', 'отсюда', 'никуда', 'не', 'уезжать', '?']"
372,"['Озирались', 'сонные', 'трамваи', ',', 'и', 'вода', 'по', 'мордам', 'их', 'текла', '.']"
373,"['Раздеваясь', ',', 'но', 'не', 'разуваясь', ',', 'несмешно', 'о', 'смешном', 'говорил', '.']"
374,"['Где', 'обрывается', 'память', ',', 'начинается', 'старая', 'фильма', ',', 'играет', 'старая', 'музыка', 'какую-то', 'дребедень', '.']"
375,"['И', ',', 'не', 'лишенная', 'прикрас', ',', 'хотя', 'и', 'сотканная', 'грубо', ',', 'жизнь', 'отгораживалась', 'тупо', 'рядами', 'ящиков', 'от', 'нас', '.']"
376,"['Вышел', 'месяц', 'из', 'тумана', '—', 'и', 'на', 'много', 'лет', 'над', 'могилою', 'Романа', 'синий-синий', 'свет.Свет', 'печальный', ',', 'синий-синий', ',', 'лёгкий', ',', 'неземной', 'над', 'Свердловском', ',', 'над', 'Россией', ',', 'даже', 'надо', 'мной.Я', 'свернул', 'к', 'тебе', 'от', 'скуки', ',', 'было', 'по', 'пути', ',', 'с', 'папироской', ',', 'руки', 'в', 'брюки', ',', 'говорю', ':', 'прости.Там', ',', 'на', 'ангельском', 'допросе', 'всякий', 'виноват', ',', 'за', 'фитюли-папиросы', 'не', 'сдавай', 'ребят.А', 'не', 'то', ',', 'Роман', ',', 'под', 'звуки', 'золотой', 'трубы', 'за', 'спины', 'закрутят', 'руки', 'ангелы-жлобы.В', 'лица', 'наши', 'до', 'рассвета', 'наведут', 'огни', ',', 'отвезут', 'туда', ',', 'где', 'это', 'делают', 'они.Так', 'и', 'мы', 'сойдём', 'с', 'экрана', ',', '—', 'не', 'молчи', 'в', 'ответ', '.']"
377,"['И', 'в', 'голове', 'дурные', 'мысли', ',', 'сперва', 'о', 'смерти', '—', 'до', 'хрена', ',', 'а', 'после', 'заново', 'о', 'жизни', '.']"
378,"['Всё', ',', 'что', 'умел', 'забыть', 'и', 'ненавидеть', '.']"
379,"['Лучше', 'б', 'меня', 'убили', 'дядя', 'в', 'рыжем', 'плаще', 'с', 'дядею', 'в', 'серой', 'робе', '.']"
380,"Но —за окном тополиные кроны шелестят, подпевают ему."
381,"['Фонтаном', 'грязь', 'из-под', 'колёс', '.']"
382,"['Два', 'мента', 'торчат', 'у', '«', 'скорой', '»', '.']"
383,"['Перед', 'тем', ',', 'что', 'жив', '.']"
384,"['Скажите', ',', 'что', 'такое', 'русский', 'Бог', '?']"
385,"['Что', 'же', 'касается', 'мальчика', ',', 'он', 'исчезает', '.']"
386,"['Исчезло', 'всё', ',', 'что', 'было', 'мило', ',', 'Что', 'только-только', 'началось', '—', 'Любовь', 'и', 'солнце', '—', 'мимо', ',', 'мимо', 'Скамейки', 'в', 'парке', 'пронеслось', '.']"
387,"['Приходите', 'из', 'тюрем', ',', 'вставайте', 'с', 'могил', ',', 'возвращайтесь', 'из', 'наглой', 'Москвы', '.']"
388,"['До', 'дома', 'добреду', ',', 'побряцаю', 'ключами', ',', 'по', 'комнатам', 'пройду', '—', 'прохладны', 'и', 'пусты', '.']"
389,"['Музыки', 'стало', 'мало', 'и', 'пассажиров', ',', 'ибо', 'трамвай', '—', 'в', 'депо', '.']"
390,"['Под', 'цифрой', '98', 'слова', ':', 'деревня', 'Сартасы', '.']"
391,"['Всегда', 'тоскует', 'человек', ',', 'но', 'иногда', 'тоскует', 'очень', ',', 'как', 'будто', 'он', 'тагильский', 'зек', ',', 'нет', ',', 'ивдельский', 'разнорабочий', '.']"
392,"['А', 'душу', 'мою', 'разрывали', 'Ерёменко', 'медные', 'трубы', '.']"
393,"['Это', ',', '—', 'мне', 'хотелось', 'быть', 'поэтом', ',', 'но', 'уже', 'не', 'очень', ',', 'потому', ',', 'что', 'не', 'заработаешь', 'на', 'этом', 'и', 'цветов', 'не', 'купишь', 'никому', '.']"
394,"['Отменно', 'жить', ':', 'икра', 'и', 'водка', '.']"
395,"['Привозят', 'джинсы', 'из', 'Америки', 'и', 'продают', 'за', 'пол-зарплаты', 'определившиеся', 'в', 'скверике', 'интеллигентные', 'ребята', '.']"
396,тусклого звездой освещай мой путь.
397,"['Трамваи', 'дребезжат', 'бесплатные', '.']"
398,"['Мы', 'много', 'пили', 'в', 'эту', 'осень', 'агдама', ',', 'света', 'и', 'росы', '.']"
399,"['Извращенцы', ',', 'как', 'кошмары', ',', 'прячутся', 'в', 'тени', 'аллей.Четверо', 'сидят', 'в', 'кабине', '.']"
400,"['Сесть', 'на', 'трамвай', '10-й', ',', 'выйти', ',', 'пройти', 'под', 'аркой', 'сталинской', ':', 'все', 'как', 'было', ',', 'было', 'давным-давно', '.']"
401,"['Над', 'речкой', 'с', 'татарским', 'названием', 'Обью', 'два', 'месяца', 'прожил', ',', 'а', 'может', 'быть', ',', 'дольше', ',', 'не', 'ради', 'того', ',', 'чтобы', 'жизнь', 'мою', 'снова', 'начать', ',', 'чтоб', 'былое', 'достойно', 'продолжить', '.']"
402,"['Дай', 'руку', 'мне', '—', 'мне', 'скоро', 'двадцать', 'три', '—', 'и', 'верь', 'словам', ',', 'я', 'дольше', 'продержался', 'меж', 'двух', 'огней', '—', 'заката', 'и', 'зари', '.']"
403,"['Долго', 'по', 'полу', 'кровь', 'разливается', '.']"
404,"['Он', 'говорил', ':', 'не', 'видел', 'я', 'озера', 'такого', 'наяву', 'прозрачного', ',', 'какая', 'там', 'охота', '!']"
405,"['…Но', 'мы', 'уже', 'летим', 'в', 'стеклянном', 'шаре', '.']"
406,Но кого ты обманешь!
407,"['Профиль', 'Слуцкого', 'наколот', 'на', 'седеющей', 'груди', '!']"
408,"['Я', 'у', 'Жени', 'спрошу', ',', 'я', 'поеду', 'к', 'нему', ',', 'он', 'влиятельным', 'жуликом', 'стал', '.']"
409,"слёзы, помнится, мне не давали вам стихи до оконечности дочитать.Поутру непонятки и грусть."
410,"['И', 'так', 'вольготно', 'и', 'отрадно', ',', 'что', 'деться', 'некуда', 'от', 'слёз', '.']"
411,"['А', 'когда', 'мы', 'друг', 'друга', 'покинем', ',', 'ты', 'на', 'крыльях', 'своих', 'унеси', 'только', 'пар', ',', 'только', 'белое', 'в', 'синем', ',', 'голубое', 'и', 'белое', 'в', 'си…', 'Молодость', 'мне', 'много', 'обещала', ',', 'было', 'мне', 'когда-то', 'двадцать', 'лет', '.']"
412,"['Через', 'солнце', 'Анталии', 'вышел', 'во', 'тьму', ',', 'в', 'небеса', 'на', '«', 'Рено', '»', 'ускакал', '.']"
413,"['Всё', 'в', 'черно-белом', 'цвете', ',', 'ходят', 'с', 'мамами', 'дети', ',', 'плохой', 'репродуктор', 'что-то', 'победоносно', 'поет', '.']"
414,"['До', 'пупа', 'сорвав', 'обноски', ',', 'с', 'нар', 'сползают', 'фраера', ',', 'на', 'спине', 'Иосиф', 'Бродский', 'напортачен', 'у', 'бугра', '—начинаются', 'разборки', 'за', 'понятья', ',', 'за', 'наколки.Разрываю', 'сальный', 'ворот', ':', 'душу', 'мне', 'не', 'береди', '.']"
415,"['Шарф', 'размотай', ',', 'потом', 'сними', 'перчатки', ',', 'смотри', 'не', 'плачь', '.']"
416,"['Конечно', ',', 'это', 'театрально', ',', 'и', 'театрально', ',', 'и', 'смешно', ',', 'но', 'упоительно-печально', '.']"
417,"Если в чем виноват, прости."
418,"['Это', 'шкафчик', ',', 'о', 'который', 'били', 'Костю', 'головой', '?']"
419,"['Следит', 'за', 'погрузкой', 'песка', 'на', 'раздолбанный', 'ЗИЛ', '—', 'приёмный', ',', 'но', 'любящий', 'сын', 'поэзии', 'русской', '.']"
420,"['Ерёменко', 'медные', 'трубы', 'в', 'душе', 'моей', 'детской', 'звучали', '.']"
421,"['«', 'Конечно', ',', 'я', 'приеду', '»', '.']"
422,"['Житуха-жизнь', 'плывет', 'и', 'нравится', ',', 'приходят', 'девочки', 'на', 'танцы', '.']"
423,"['И', 'звучит', 'с', 'базара', 'блатной', 'мотив', ',', 'проясняются', 'небеса', '.']"
424,"['Это', 'что-то', 'задолго', 'до', 'Блока', ',', 'это', 'мог', 'сочинить', 'Огарёв', '.']"
425,"['Я', 'на', 'крыше', 'паровоза', 'ехал', 'в', 'город', 'Уфалей', 'и', 'обеими', 'руками', 'обнимал', 'моих', 'друзей', '—', 'Водяного', 'с', 'Черепахой', ',', 'щуря', 'детские', 'глаза', '.']"
426,"['И', 'Дозморов', 'Олег', 'мне', 'говорил', ':', '«', 'Борис', ',', 'тут', 'водка', 'и', 'икра', ',', 'Кальпиди', 'так', 'Кальпиди', '.']"
427,"['На', 'пароходе', 'в', 'ночь', 'отчалить', 'полагали', ',', 'но', 'пригласили', 'нас', 'в', 'какой-то', 'важный', 'дом', '.']"
428,"['Пойду', 'в', 'общагу', 'ПТУ', ',', 'гусар', ',', 'повеса', 'из', 'повес', '.']"
429,"Сколько можно, старина, умиляться острожной балалаечной нотой с железнодорожной?"
430,"Почему мои руки разбиты, кто тот Паша, что с Ниной пришёл?"
431,"['Да', 'по', 'улице', 'вечной', 'печали', 'в', 'дом', 'родимый', ',', 'сливаясь', 'с', 'закатом', ',', 'одиночеством', ',', 'сном', ',', 'листопадом', ',', 'возвращайся', 'убитым', 'солдатом', '.']"
432,"['Кажется', ',', 'да', '.']"
433,"['И', 'наполнится', 'небо', 'огнями', '.']"
434,"['Мочи', 'его', ',', 'ребя', ',', 'он', '—', 'никто.Синий', 'луч', 'с', 'зеленцой', 'по', 'краям', 'преломляют', 'кирпичные', 'стены', '.']"
435,Дребезжат автосамосвалы.
436,"['Кружится', 'сумрачная', 'даль', '.']"
437,"['Гроб', 'вытаскивают', '—', 'блеск', '—', 'и', 'восстановлен', 'лоб', ',', 'что', 'в', 'офисе', 'ему', 'разбили', 'арматурой', '.']"
438,"['Поддав', ',', 'сонеты', 'прочитали', ',', 'сплошную', 'похабель', 'оставив', 'на', 'потом', '.']"
439,"['Мне', 'на', 'плечи', 'бросается', 'век-волкодав', ',', 'я', 'сжимаю', 'от', 'боли', 'виски', '.']"
440,"['«', 'Девочке', 'медведя', 'подарили', '»', ',', '–', 'перед', 'сном', 'читала', 'мне', 'сестра', '.']"
441,"['И', 'исчезнут', 'морщины', 'у', 'глаз', ',', 'у', 'рта', ',', 'ты', 'ребенком', 'станешь', '—', 'о', ',', 'навсегда', '!']"
442,"['Осень', ',', 'что', 'ли', '?']"
443,"['А', 'что', 'еще', '?']"
444,"['Прости', 'былому', 'хулигану', '—', 'что', 'там', '?']"
445,"['Был', 'двор', ',', 'а', 'во', 'дворе', 'качели', 'позвякивали', 'и', 'скрипели', '.']"
446,"['В', 'России', 'друг', 'от', 'друга', 'города', 'столь', 'далеки', ',', 'что', 'вздрагиваю', 'я', ',', 'шепнув', '«', 'прощай', '»', '.']"
447,"['И', 'той', 'скамейки', 'в', 'парке', 'нету', ',', 'Где', 'было', 'вырезано', '«', 'Б.Р.', '»', '.']"
448,"['Я', 'о', 'чём', '?']"
449,"['Не', 'шумит', 'дорога', '.']"
450,"['Чьи-то', 'губы', 'и', 'ладошки', 'на', 'десятом', 'этаже.И', 'пошёл', '—', 'с', 'тоскою', 'ясной', 'в', 'полуночном', 'серебре', '—', 'в', 'лабиринт', '—', 'с', 'гвоздикой', 'красной', '—', 'сам', 'чудовище', 'себе', '.']"
451,"['Можно', 'лечь', 'на', 'синий', 'воздух', 'и', 'почти', 'что', 'полететь', ',', 'на', 'бескрайние', 'просторы', 'влажным', 'взором', 'посмотреть', ':', 'лес', 'налево', ',', 'луг', 'направо', ',', 'лесовозы', ',', 'трактора', '.']"
452,"['Уркаган', ',', 'разбушлатившись', ',', 'в', 'тамбуре', 'выбивает', 'окно', 'кулаком', '(', 'как', 'Григорьев', ',', 'гуляющий', 'в', 'таборе', ')', 'и', 'на', 'стеклах', 'стоит', 'босиком', '.']"
453,"['Лучше', 'лежать', 'в', 'могиле', '.']"
454,"['Я', 'расскажу', 'тебе', ',', 'когда', 'согреюсь', ',', 'как', 'входят', 'в', 'дом', '—', 'не', 'ангелы', '—', 'врачи', 'и', 'кровь', 'мою', 'процеживают', 'через', 'тот', 'самый', 'уголь', '—', 'если', 'б', 'мир', 'сгорел', 'со', 'мною', 'и', 'с', 'тобой', '—', 'тот', 'самый', 'уголь', '.']"
455,"['Потому', 'что', 'все', 'меня', 'любили', ',', 'дерева', 'молчали', 'до', 'утра', '.']"
456,"['Поужинав', ',', 'на', 'лестничной', 'площадке', 'курили', 'психи.Стояли', 'и', 'на', 'корточках', 'сидели', 'без', 'разговора', '.']"
457,"['Роится', 'над', 'башками', 'гнусь', '.']"
458,"['С', 'плоской', '«', 'Примой', '»', 'в', 'зубах', ':', 'кому', 'в', 'бровь', ',', 'кому', 'в', 'пах', ',', 'сквозь', 'сиянье', 'вгоняя', 'во', 'тьму', '.']"
459,"['И', 'я', 'принимаю', ',', 'хотя', 'без', 'восторга', ',', 'из', 'всех', 'измерений', 'печали', '—', 'любое', '.']"
460,"['После', 'дня', 'трудового', 'над', 'могилой', 'впечатляюще', 'унылой', 'почему-то', 'плачу', 'я', ':', 'ну', ',', 'прощай', ',', 'Салимов', 'К.', 'У.', 'Снег', 'ложится', 'на', 'башку', '.']"
461,"['Такие', 'удивительные', 'мысли', 'ко', 'мне', 'приходят', 'с', 'некоторых', 'пор', '.']"
462,"['И', ',', 'небо', 'пронзая', ',', 'стояли', 'на', 'страже', 'берёзы', 'и', 'ели', 'в', 'могильном', 'покое', '.']"
463,"['Вообще', 'одинок', ',', 'как', 'разбитый', 'полк', ':', 'ваш', 'Петербург', 'больше', 'похож', 'на', 'Нью-Йорк', '.']"
464,батькины так галдят аониды?
465,"['«', 'Дай', 'капельку', 'сотру', '»', '.']"
466,"['Пусть', 'ангел', 'смерти', ',', 'как', 'в', 'кино', ',', 'то', 'яду', 'подольёт', 'в', 'вино', ',', 'то', 'жизнь', 'мою', 'перетасует', 'и', 'крести', 'бросит', 'на', 'сукно', '.']"
467,0
468,"['Дождь', ',', 'дождь', 'идет', ',', 'достанем', 'зонтик', ',', '—', 'на', 'много', ',', 'много', ',', 'много', 'лет', 'вот', 'этот', 'дождик', 'тебе', ',', 'мой', 'свет', '.']"
469,"['А', 'ты', 'опять', 'же', 'преградишь', 'мне', 'путь', ',', 'ты', 'закричишь', ',', 'ты', 'кинешься', 'на', 'грудь', ',', 'ты', 'приведешь', 'меня', 'в', 'свою', 'общагу', '.']"
470,"['Мне', 'пора', 'возвращаться', 'назад', '.']"
471,"['Я', 'помню', 'всё', ',', 'хоть', 'многое', 'забыл', ',', '—', 'разболтанную', 'школьную', 'ватагу', '.']"
472,"['Мотив', 'умолкнет', ',', 'схлынет', 'мрак', ',', 'как', 'бы', 'конкретно', 'ни', 'мутило', ',', 'но', 'надо', ',', 'чтобы', 'на', 'крайняк', 'у', 'человека', 'что-то', 'было', '.']"
473,"['Вот', 'мы', 'сидим', 'в', 'кафе', 'и', 'глядим', 'в', 'окно', ':', 'Рыжий', 'Б.', ',', 'Леонтьев', 'А.', ',', 'Дозморов', 'О.', 'Вспомнить', 'пытаемся', 'каждый', 'любимый', 'жест', ':', 'как', 'матерится', ',', 'как', 'говорит', ',', 'как', 'ест', '.']"
474,"['Мой', 'герой', 'ускользает', 'во', 'тьму', '.']"
475,"['Зелёный', 'змий', 'мне', 'преградил', 'дорогу', 'к', 'таким', 'непоборимым', 'высотам', ',', 'что', 'я', 'твержу', 'порою', ':', 'слава', 'богу', ',', 'что', 'я', 'не', 'там', '.']"
476,"['Я', 'никогда', 'не', 'сяду', 'в', 'первом', 'ряду', '.']"
477,"['Меж', 'правдою', 'и', 'вымыслом', 'слоняться', 'по', 'облетевшим', 'листьям', 'сентября.Скамейку', 'выбирая', ',', 'по', 'аллеям', 'шататься', ',', 'ту', ',', 'которой', 'навсегда', 'мы', 'прошлое', 'и', 'будущее', 'склеим', '.']"
478,"['Олег', ',', 'я', 'ошалел', 'от', 'водки', 'и', 'свободы', ',', 'и', 'истина', 'твоя', 'уже', 'открылась', 'мне', '.']"
479,Где разжиться спасительной соткой?
480,"['Это', 'было', 'над', 'Камой', 'крылатою', ',', 'сине-черною', ',', 'именно', 'там', ',', 'где', 'беззубую', 'песню', 'бесплатную', 'пушкинистам', 'кричал', 'Мандельштам', '.']"
481,"['Почти', 'что', 'новый', '«', 'Беларусь', '»', '.']"
482,"Я по листам сухой не бродил с сыном за руку, за облаками, обретая покой, не наблюдал, не аллеями шёл, а дворами.Только в песнях мучился и любил."
483,"['Пришла', 'музыка', ',', 'кончились', 'слова', '.']"
484,"['Принимай', 'без', 'снобизма', '—', 'и', 'песни', 'и', 'слезы', 'мои', '.']"
485,"['Я', 'прошел', 'по', 'касательной', ',', 'но', 'не', 'вразрез', 'с', 'небесами', '.']"
486,"['Отвечает', 'цыганка', ',', 'мол', ',', 'ты', 'умрёшь', ',', 'не', 'живут', 'такие', 'в', 'миру', '.']"
487,"['Пускай', 'тогда', ',', 'когда', 'затылком', 'стукну', 'по', 'днищу', 'гроба', ',', 'в', 'подземелье', 'рухну', ',', 'заплаканные', 'свердловчане', 'пусть', 'нарядят', 'механическую', 'куклу', 'в', 'мое', 'шмотье', ',', 'придав', 'движеньям', 'грусть', '.']"
488,"['Ступай', ',', 'он', 'рек', ',', 'вали', 'и', 'жги', 'глаголом', 'сердца', 'людей', ',', 'простых', 'Марусь', 'и', 'Вась', ',', 'раз', 'в', 'месяц', 'наливаясь', 'алкоголем', ',', 'неделю', 'квась', '.']"
489,"['Под', 'окном', ',', 'как', 'архангел', ',', 'сигналит', 'таксист', '.']"
490,"['Ни', 'для', 'чего', 'и', 'низачем', ',', 'а', 'просто', 'так', 'и', 'между', 'тем', 'оставь', 'меня', ',', 'когда', 'мне', 'больно', ',', 'уйди', ',', 'оставь', 'меня', 'совсем', '.']"
491,"['И', 'ты', 'со', 'мной', '—', 'дай', 'руку', 'мне', '—', 'и', 'ты', 'теперь', 'со', 'мной', ',', 'но', 'я', 'боюсь', 'увидеть', 'глаза', ',', 'улыбку', ',', 'облако', ',', 'цветы', '.']"
492,"['Это', 'наша', 'с', 'тобой', 'остановка', ':', 'там', '—', 'плакаты', ',', 'а', 'там', '—', 'транспаранты', ',', 'небо', 'синее', ',', 'красные', 'банты', ',', 'чьи-то', 'похороны', ',', 'музыканты', '.']"
493,"['А-ну', ',', 'давай-ка', ',', 'ай-люли', ',', 'в', 'кабину', 'лезь', 'и', 'не', 'юли', ',', 'рули', 'вдоль', 'склона', 'неуклонно', ',', 'до', 'неба', 'синего', 'рули', '.']"
494,"['Пред', 'тобой', 'одной', 'я', 'не', 'знал', 'вины', '.']"
495,"Так сказать, надо факты связать — выпивали в тоске и грусти."
496,"['Он', 'точно', 'знал', ',', 'что', 'я', 'боксёр', '.']"
497,"['Я', 'читал', 'ей', 'о', 'жизни', 'поэта', ',', 'четко', 'к', 'смерти', 'поэта', 'клоня', '.']"
498,"['Навеки', 'влюбленные', ',', 'в', 'клубе', 'мы', 'с', 'Ирою', 'К.', 'танцевали', '.']"
499,"['На', 'вокзале', 'стоят', 'поезда', '—', 'ну', ',', 'пора', '.']"
500,"['Как', 'говорить', 'о', 'Бродском', 'при', 'нем', 'нельзя', '.']"
501,"['И', 'листья', 'заново', 'взлетят', ',', 'и', 'станут', 'падать', 'и', 'кружиться', '.']"
502,"Где качели с каруселями, мотодромы с автодромами — мы на корточки присели, мы любовались панорамою."
503,"['Завидуешь', 'мне', ',', 'зависть', '—', 'это', 'дурно', ',', 'а', 'между', 'тем', 'есть', 'чему', 'позавидовать', ',', 'мальчик', ',', 'на', 'самом', 'деле', '—', 'я', 'пил', ',', 'я', 'беседовал', 'запросто', 'с', 'героем', 'его', 'поэм', 'в', 'выдуманном', 'им', 'городе', ',', 'в', 'придуманном', 'им', 'отеле', '.']"
504,"Ну, пока, молодость, говорю, прощай."
505,"['Леонтьев', ',', 'Дозморов', 'и', 'Лузин', ',', 'вот', ',', 'Гриня', ',', 'все', 'мои', 'кенты.Леонтьев', '—', 'гений', 'и', 'поэт', ',', 'и', 'Дозморов', ',', 'базару', 'нет', ',', 'поэт', ',', 'а', 'Лузин', '—', 'абсолютный', 'на', 'РТИ', 'авторитет', '.']"
506,"На поэзии россиянина появляется тесный очень точный узорец восточный, растворяется старый — безнадёжный, небрежный."
507,"['И', 'сколько', 'б', 'он', 'ни', 'лил', ',', 'ни', 'плакал', ',', 'ты', 'стороною', 'не', 'пройдешь…', 'Накинь', ',', 'мой', 'ангел', ',', 'мой', 'макинтош', '.']"
508,"['Тайга', '—', 'по', 'центру', ',', 'Кама', '—', 'с', 'краю', ',', 'с', 'другого', 'края', ',', 'пьяный', 'в', 'дым', ',', 'с', 'разбитой', 'харей', ',', 'у', 'сарая', 'стою', 'с', 'Григорием', 'Данским', '.']"
509,"['Как', 'будто', 'кончено', 'сраженье', ',', 'и', 'мы', ',', 'прожжённые', ',', 'летим', ',', 'прорвавшись', 'через', 'окруженье', ',', 'к', 'своим', '.']"
510,"['Не', 'вышло', 'из', 'меня', 'поэта', ',', 'чёрт', 'побери', '!']"
511,"['13', 'лет', '.']"
512,"['На', 'фоне', 'развернувшихся', 'небес', 'шел', 'первый', 'снег', ',', 'и', 'сердцу', 'было', 'грустно', '.']"
513,"Да, наверное, все это — угар без огня и актерство : слоняться, дышать перегаром."
514,"['И', 'жизнь', 'пройдет', '.']"
515,"['Скверик', 'возле', 'магазина', '«', 'соки-воды', '»', '.']"
516,"['Моют', 'хмурые', 'ребята', 'мотоциклы', 'у', 'реки', '.']"
517,"['Браунинг', '?']"
518,"['Но', 'раз', 'в', 'полгода', 'куклу', 'убирают', ',', 'и', 'с', 'Лузиным', 'Серегой', 'запивает', 'толковый', 'опустившийся', 'актер', '.']"
519,"['Подыграй', 'на', 'зубах', 'этим', 'дядям', 'и', 'отчаль', 'под', 'красивые', 'звуки', ',', 'куртка', 'кожаная', ',', 'руки', 'в', 'брюки', ',', 'да', 'по', 'улочке', 'вечной', 'разлуки', '.']"
520,"['Иванов', '.']"
521,"['Всем', 'все', 'равно', 'куда', ',', 'а', 'мне', '—', 'подавно', ',', 'куда', 'угодно', '.']"
522,"['Он', 'потерял', 'протез', 'по', 'пьянке', ',', 'а', 'с', 'ним', 'ботинок', 'дорогой', '.']"
523,"золотые картины : зеленеют долины, синих возвышений голубеют вершины, свет с востока, востока, от порога до божества пролегает дорога полого."
524,"['Жизнь', '—', 'суть', 'поэзия', ',', 'а', 'смерть', '—', 'сплошная', 'проза', '.']"
525,"['В', 'одних', 'и', 'тех', 'же', 'брюках', 'и', 'ботинках', ',', 'один', 'и', 'тот', 'же', 'выдыхая', 'дым', '.']"
526,Нагловатая малодушие в глазах татарвы.
527,"['Чтоб', 'летели', 'кругом', 'облака', '.']"
528,"['Мы', 'целовались', 'тут', 'пять', 'лет', 'назад', ',', 'и', 'пялился', 'какой-то', 'азиат', 'на', 'нас', 'с', 'тобой', '—', 'целующихся', '—', 'тупо', 'и', 'похотливо', ',', 'что', 'поделать', '—', 'хам', '!']"
529,"['Милицанеры', 'парки', ',', 'улицы', 'и', 'скверы', 'объезжают', '.']"
530,"['Не', 'безысходный', '—', 'трогательный', ',', 'словно', 'пять', 'лет', 'назад', ',', 'отметить', 'надо', 'дождик', 'безусловно', 'и', 'листопад.Пойду', ',', 'чтобы', 'в', 'лицо', 'летели', 'листья', ',', '—', 'я', 'так', 'давно', 'с', 'предсмертною', 'разлукою', 'сроднился', ',', 'что', 'все', 'равно.Что', 'даже', 'лучше', 'выгляжу', 'на', 'фоне', 'предзимних', 'дней', '.']"
531,"Их поймали, и не некому стало меня защищать."
532,"['Осталась', 'глупая', 'досада', '—', 'И', 'тихо', 'злит', 'меня', 'опять', 'Не', 'то', ',', 'что', 'говорить', 'не', 'надо', ',', 'А', 'то', ',', 'что', 'нечего', 'сказать', '.']"
533,"['Откуда', 'это', '?']"
534,"А из ноги я выгоду достал : я трость себе купил и с тростью сего прекрасного ходил туда-сюда, как некий князь, и нравился — о да!"
535,"['Больше', 'черного', 'горя', ',', 'поэт', '.']"
536,"['И', 'вспоминается', 'Полонский', '.']"
537,"['На', 'такси', 'до', 'родимых', 'трущоб', 'доберусь', ',', 'попрошу', ',', 'чтобы', 'ждали', 'внизу', '.']"
538,"['Уж', 'убран', 'с', 'поля', 'начисто', 'турнепс', 'и', 'вывезены', 'свекла', 'и', 'капуста', '.']"
539,Лает пёс.
540,"Я фунциклировал на драге в посёлке Кытлым, о чем позже скажу в пышного прозе, — корешился с ушедшим в народ мафиозник, любовался с буфетчицей небом ночным."
541,"['Молча', 'пьют', 'и', 'плачут', 'господа', '.']"
542,"['а', 'я', 'реву', 'от', 'этой', 'жалкой', 'прозы', ',', 'лица', 'не', 'пряча', ',', 'сердца', 'не', 'тая', '.']"
543,"['Прежде', 'чем', 'на', 'тракторе', 'разбиться', ',', 'застрелиться', ',', 'утонуть', 'в', 'реке', ',', 'приходил', 'лесник', 'опохмелиться', ',', 'приносил', 'мне', 'вишни', 'в', 'кулаке', '.']"
544,"['Помнишь', 'дождь', 'на', 'улице', 'Титова', ',', 'что', 'прошел', 'немного', 'погодя', 'после', 'слёз', 'и', 'сказанного', 'слова', '?']"
545,"['Он', 'в', 'куртке', 'наголо', 'сидит', ',', 'в', 'трико', 'и', 'тапках', 'у', 'подъезда', ',', 'на', 'куст', 'рыдающий', 'глядит', ',', 'а', 'жизнь', 'темна', 'и', 'неуместна', '.']"
546,"['Пусть', 'опустеют', 'небеса', '.']"
547,"['Патронташ', 'повесив', 'в', 'коридоре', ',', 'привозил', 'отец', 'издалека', 'с', 'камышами', 'синие', 'озера', ',', 'белые', 'в', 'озерах', 'облака', '.']"
548,"['Ничего', 'действительно', 'не', 'надо', ',', 'что', 'ни', 'назови', ':', 'ни', 'чужого', 'яблоневого', 'сада', ',', 'ни', 'чужой', 'любви', ',', 'что', 'тебя', 'поддерживает', 'нежно', ',', 'уронить', 'боясь', '.']"
549,"Вот и лупит по струнам дурак.Эта песнь, он сам ее разве сочинил, разве слышал в кино, ибо я ничего безобразней сего песни не слыхивал."
550,"['Прощай', ',', 'любовь', '!']"
551,"['И', 'смерть', 'наступит', '.']"
552,"['Всё', ',', '—', 'о', 'жизни', 'поэзии', ',', 'о', 'судьбе', 'человека', 'больше', 'думать', 'не', 'надо', ',', 'присядь', ',', 'закури', 'не', 'спеша', '.']"
553,"['Затарахтел', '.']"
554,"Отделали что надо, аж губа отвисла эдак."
555,"['Пожалуй', 'так', 'оно', ',', 'однако', 'гляди', 'сюда', ',', 'какими', 'лейблами', 'расписана', 'моя', 'телага', '.']"
556,"['Мальчику', 'полнеба', 'подарили', ',', 'сумрак', 'елей', ',', 'золото', 'берез', '.']"
557,"['Какая', 'малость', ',', 'милость', ',', 'что', 'за', 'грусть', '—', 'мы', 'насовсем', 'прощаемся', '.']"
