,stolbec
121,"['И', 'да', 'не', 'дрогнула', 'б', 'рука', ',', 'сказал', ',', 'кого.Но', 'если', 'честным', 'быть', 'в', 'конце', 'и', 'до', 'конца', '—', 'лицо', 'свое', ',', 'в', 'своем', 'лице', 'лицо', 'отца.За', 'этот', 'сумрак', ',', 'этот', 'мрак', ',', 'что', 'свыше', 'сил', ',', 'я', 'так', 'люблю', 'его', ',', 'я', 'так', 'его', 'любил.Как', 'эти', 'реки', ',', 'облака', 'и', 'виражи', 'стиха', ',', 'не', 'дрогнула', 'б', 'строка', ',', 'как', 'эту', 'жизнь', '.']"
122,"['На', 'окошке', 'на', 'фоне', 'заката', 'дрянь', 'какая-то', 'желтым', 'цвела', '.']"
123,"['Станет', 'сын', 'чужим', 'и', 'чужой', 'жена', ',', 'отвернутся', 'друзья-враги', '.']"
124,"['Вот', 'и', 'стал', 'я', 'горным', 'инженером', ',', 'получил', 'с', 'отличием', 'диплом', '.']"
125,"['Приобретут', 'всеевропейский', 'лоск', 'Слова', 'трансазиатского', 'поэта', ',', 'Я', 'позабуду', 'сказочный', 'Свердловск', 'И', 'школьный', 'двор', 'в', 'районе', 'Вторчермета', '.']"
126,"['Парк', 'осенний', 'стоит', 'одиноко', ',', 'и', 'к', 'разлуке', 'и', 'к', 'смерти', 'готов', '.']"
127,"['А', 'ещё', ',', 'а', 'потом', ',', 'чтобы', 'лес', 'золотой', ',', 'голубой', 'блеск', 'реки', 'и', 'небес', '.']"
128,"['Нет', ',', 'вы', 'не', 'поняли', ',', 'есть', 'пистолет', ',', 'только', 'дома', '.']"
129,"['Восемь', 'глаз', 'печально-синих', '.']"
130,"['Было', 'много', 'утреннего', 'света', ',', 'с', 'крыши', 'в', 'руки', 'падала', 'вода', ',', 'это', 'было', 'осенью', ',', 'а', 'лето', 'я', 'не', 'вспоминаю', 'никогда', '.']"
131,"['Я', 'подарил', 'тебе', 'на', 'счастье', 'во', 'имя', 'света', 'и', 'любви', 'запас', 'ненастья', 'в', 'моей', 'крови', '.']"
132,"['И', 'вновь', 'на', 'свете', 'повторится', 'Скамейка', ',', 'счастье', 'и', 'любовь', '.']"
133,"['В', 'России', 'расстаются', 'навсегда', '.']"
